"Approved","Approved"
"Canceled","Canceled"
"Declined","Declined"
"On Hold","On Hold"
"Pending","Pending"
"The items received are different than what I ordered.","The items received are different than what I ordered."
"I received the package this morning and the items are damaged.","I received the package this morning and the items are damaged."
